CaseNum,Price,CaseName,KCC,"Architecture/PV
(kW)","Grid/Energy Purchased
(kWh)",Architecture/G1500,Architecture/1kWh LI,"Cost/COE
($)"
1.3MWe,12,Anchorage,dfc,76800.8,5108567.0,19,133933,0.32347726821899414
1.3MWe,12,Ashland,dfb,37469.77837435498,3765344.5,14,59708,0.17418064177036285
1.3MWe,12,AtlantaGA,cfa,86083.37026535468,6029559.5,2,70298,0.207358717918396
1.3MWe,12,BangorME,dfb,61569.33807297643,5329595.5,8,98826,0.22730132937431335
1.3MWe,12,BendOre,bsk,33742.50074467523,4773864.5,12,74259,0.18069876730442047
1.3MWe,12,BentonCountyOregon,csb,39043.008765374325,5451076.0,12,98680,0.21502362191677094
1.3MWe,12,BirminghamAL,cfa,81278.09328202806,5994782.5,3,81178,0.2164735347032547
1.3MWe,12,BismarckND,dfb,16699.923811695953,3651255.0,9,50669,0.1199510395526886
1.3MWe,12,BlaineCountyMontana,bsk,15461.13305117313,3562742.5,10,53528,0.1248936578631401
1.3MWe,12,BoiseID,bsk,46495.61791302419,5358947.5,9,74888,0.18767938017845154
1.3MWe,12,BrewsterMA,dfb,16998.989868828958,2898248.75,11,53946,0.12870968878269196
1.3MWe,12,BurlingtonVT,dfa,65053.07896613862,5468497.5,8,104960,0.2384539693593979
1.3MWe,12,Buttonwillow,bwk,48193.02271444488,5817486.5,9,90754,0.2079077661037445
1.3MWe,12,CarsonCityNV,bsk,38841.34121057606,5697901.5,10,109443,0.21929499506950378
1.3MWe,12,CheyenneWY,bsk,23766.41702370982,3386577.0,8,47698,0.12083317339420319
1.3MWe,12,Chicago,dfa,40588.64669805554,3232975.0,11,50813,0.1555662900209427
1.3MWe,12,CoalvilleUT,dfb,39108.98629875606,5370883.0,11,82137,0.19378280639648438
1.3MWe,12,ColumbiaMO,cfa,41987.571005720485,4157381.0,12,57481,0.17119479179382324
1.3MWe,12,ColumbusOH,dfa,56757.25831062589,4085816.25,13,58388,0.19381867349147797
1.3MWe,12,CrestedButteCO,dfc,54070.79864347462,5414768.0,6,61290,0.1716431826353073
1.3MWe,12,DesMoinesIA,dfa,18486.521112328057,3568869.75,10,52014,0.12703844904899597
1.3MWe,12,DetroitMI,dfa,32532.33838481215,3214067.25,12,50311,0.14885741472244263
1.3MWe,12,EielsonAFB,dfc,57721.43947465725,4654377.0,18,133158,0.29390206933021545
1.3MWe,12,Everglades,am,53824.09146267071,3719569.75,13,60000,0.19063803553581238
1.3MWe,12,Flagstaff,dsb,55000.57291706785,5670008.0,3,58751,0.15966759622097015
1.3MWe,12,GreatFallsMT,bsk,30347.627199148104,3647047.75,10,51073,0.14090223610401154
1.3MWe,12,Hilo,af,27587.877820848036,4190381.5,13,66309,0.16660529375076294
1.3MWe,12,IdahoFalls,dfb,23027.250810761576,4921159.5,10,83968,0.17062123119831085
1.3MWe,12,JacksonMS,cfa,73838.2723808941,5975490.5,3,81736,0.20784689486026764
1.3MWe,12,Kauai,cfb,18296.308815946122,3907591.5,7,51038,0.11561775207519531
1.3MWe,12,KootenaiCountyID,dsb,58855.88083711615,5705054.5,12,112952,0.2551284730434418
1.3MWe,12,LancasterPA,dfa,68048.934578774,5435149.5,6,92912,0.22189611196517944
1.3MWe,12,LaredoTX,bsh,23315.93633193982,4248796.5,8,56831,0.13277703523635864
1.3MWe,12,LincolnNE,dfa,16853.01455062149,3657955.0,9,51249,0.12075652182102203
1.3MWe,12,LittleRockAR,cfa,56319.830658391154,5212239.5,7,80849,0.19791154563426971
1.3MWe,12,Longview,csb,54101.646679404505,5604513.5,14,110531,0.2539738416671753
1.3MWe,12,LosAlamosNM,dfb,55455.66384248116,5520815.5,4,61481,0.16635087132453918
1.3MWe,12,MarlintonWV,cfb,75639.58806082536,5656900.0,6,75395,0.2136911153793335
1.3MWe,12,MedfordOR,csa,84770.44757235632,6109101.0,4,117898,0.2632700502872467
1.3MWe,12,MemphisTN,cfa,38085.845168955384,3696431.5,12,55994,0.16326311230659485
1.3MWe,12,Miami,af,27587.663532787847,5418628.0,3,56625,0.12292885780334473
1.3MWe,12,MobileAL,cfa,80872.83512955061,5858373.0,3,74024,0.20803885161876678
1.3MWe,12,MoscowID,csb,45403.682697394055,5331321.0,11,85217,0.20459339022636414
1.3MWe,12,NOLA,cfa,55844.959370210825,3836167.0,12,59064,0.18876314163208008
1.3MWe,12,NeahBay,cfb,71051.40303984191,4674993.5,9,59159,0.1990705132484436
1.3MWe,12,OKCity,cfa,14969.365053553267,3732261.5,9,53606,0.12116193026304245
1.3MWe,12,ORNL,cfa,61103.14010799972,6177266.5,3,102556,0.2146274298429489
1.3MWe,12,PhoenixAZ,bwh,41345.35296340255,5894729.0,3,58348,0.14324462413787842
1.3MWe,12,PrescottAZ,csa,42716.866206622115,5759866.5,3,59179,0.14534243941307068
1.3MWe,12,Pueblo,bsk,35291.37819818842,4462824.5,9,55986,0.15111730992794037
1.3MWe,12,RaleighNC,cfa,78254.87905792333,5496110.5,5,61859,0.1984427124261856
1.3MWe,12,RapidCitySD,bsk,17882.48619716993,3752900.25,11,56327,0.1352078765630722
1.3MWe,12,ReddingCA,csa,42736.70696832914,6223502.5,5,115378,0.21318213641643524
1.3MWe,12,RichmondVA,cfa,79907.33631016937,5591801.0,6,67308,0.21026299893856049
1.3MWe,12,Sacramento,csa,32720.2645364384,5708492.0,7,93661,0.1839962601661682
1.3MWe,12,SouthBendIN,dfa,32634.231463293057,3307350.25,11,49451,0.14463341236114502
1.3MWe,12,Syracuse,dfb,64475.843374229386,4703808.0,9,56738,0.18857605755329132
1.3MWe,12,TexasOil,bsh,14705.954747643444,4102016.5,7,49461,0.11023056507110596
1.3MWe,12,UPMich,dfb,43765.009586070584,3471905.75,11,48404,0.15777476131916046
1.3MWe,12,VegasNV,bwh,29083.908967540672,5359513.0,6,57774,0.13709516823291779
1.3MWe,12,WadenaMN,dfa,18146.97890009807,3588766.0,9,50974,0.12183637171983719
1.3MWe,12,YumaAZ,bwh,37195.6232134216,5898853.5,3,59887,0.1397748738527298
1.3MWe,18,Anchorage,dfc,68627.23274414145,29562.16796875,30,221820,0.429386168718338
1.3MWe,18,Ashland,dfb,41702.13006701699,38382.74609375,20,77495,0.20791955292224884
1.3MWe,18,AtlantaGA,cfa,97822.49197086661,39055.6015625,5,99116,0.24272668361663818
1.3MWe,18,BangorME,dfb,74540.80293759922,48986.23828125,16,122969,0.28065669536590576
1.3MWe,18,BendOre,bsk,44861.62808838885,48489.921875,14,110789,0.22393016517162323
1.3MWe,18,BentonCountyOregon,csb,59893.131930525225,40903.671875,16,137187,0.27746474742889404
1.3MWe,18,BirminghamAL,cfa,95955.69092872425,31635.982421875,5,117922,0.26002269983291626
1.3MWe,18,BismarckND,dfb,22312.004365723627,44196.640625,11,77424,0.15004074573516846
1.3MWe,18,BlaineCountyMontana,bsk,20791.29777658054,42500.28125,11,85604,0.15669825673103333
1.3MWe,18,BoiseID,bsk,58640.806871379544,42012.453125,14,110235,0.2402399331331253
1.3MWe,18,BrewsterMA,dfb,22937.62394553574,39989.17578125,13,70209,0.15081839263439178
1.3MWe,18,BurlingtonVT,dfa,78721.2337694989,47239.17578125,16,137796,0.3012522757053375
1.3MWe,18,Buttonwillow,bwk,76800.8,30586.693359375,9,142161,0.27691373229026794
1.3MWe,18,CarsonCityNV,bsk,76800.8,43396.0234375,12,144568,0.29082921147346497
1.3MWe,18,CheyenneWY,bsk,33377.26280294143,32280.98046875,7,66720,0.13728348910808563
1.3MWe,18,Chicago,dfa,49810.374534795046,46854.33203125,13,67553,0.18108604848384857
1.3MWe,18,CoalvilleUT,dfb,59975.23661733067,47109.46875,14,115142,0.24703113734722137
1.3MWe,18,ColumbiaMO,cfa,53016.13040036426,45805.91015625,15,77973,0.20344914495944977
1.3MWe,18,ColumbusOH,dfa,66488.69436472094,46440.50390625,16,85364,0.231492280960083
1.3MWe,18,CrestedButteCO,dfc,69741.60936892159,49879.96875,10,83044,0.21040436625480652
1.3MWe,18,DesMoinesIA,dfa,24098.04828292389,40288.515625,13,72387,0.15451042354106903
1.3MWe,18,DetroitMI,dfa,39402.419764262464,39762.52734375,14,68470,0.17299924790859222
1.3MWe,18,EielsonAFB,dfc,56272.21865691471,31054.4375,24,224547,0.3944008946418762
1.3MWe,18,Everglades,am,67002.9714890863,36175.13671875,15,78801,0.22144775092601776
1.3MWe,18,Flagstaff,dsb,68717.53622240374,42311.09765625,5,80161,0.1872040182352066
1.3MWe,18,GreatFallsMT,bsk,34025.887257199596,40581.58203125,13,70027,0.1642504185438156
1.3MWe,18,Hilo,af,51924.442945133946,33694.68359375,13,82746,0.19945989549160004
1.3MWe,18,IdahoFalls,dfb,38373.77696663394,44499.375,12,114519,0.21227827668190002
1.3MWe,18,JacksonMS,cfa,87742.84349490568,31430.53125,6,112059,0.24759481847286224
1.3MWe,18,Kauai,cfb,27716.864650385756,38641.0859375,8,72755,0.14044080674648285
1.3MWe,18,KootenaiCountyID,dsb,96601.87503549868,36029.86328125,20,139968,0.3405492901802063
1.3MWe,18,LancasterPA,dfa,101160.91713143926,42700.9921875,11,98052,0.2684062719345093
1.3MWe,18,LaredoTX,bsh,29951.97523292227,36124.484375,9,91865,0.1668914407491684
1.3MWe,18,LincolnNE,dfa,24798.369846115966,45531.4453125,10,79340,0.1513184905052185
1.3MWe,18,LittleRockAR,cfa,75536.27552151943,39730.16015625,10,99896,0.23507241904735565
1.3MWe,18,Longview,csb,59205.114631949094,33260.82421875,20.0,183736,0.34028756618499756
1.3MWe,18,LosAlamosNM,dfb,73456.77532274864,40976.3203125,4,82373,0.19154904782772064
1.3MWe,18,MarlintonWV,cfb,90749.03267061437,35881.7890625,9,102265,0.2524247467517853
1.3MWe,18,MedfordOR,csa,120717.9839462844,30999.298828125,6,175485,0.3543357849121094
1.3MWe,18,MemphisTN,cfa,44777.72186843703,48292.2578125,16,73412,0.19236278533935547
1.3MWe,18,Miami,af,35036.08369280136,40119.30078125,3,77028,0.1350039839744568
1.3MWe,18,MobileAL,cfa,96536.16632232426,30858.66015625,7,97454,0.2469271719455719
1.3MWe,18,MoscowID,csb,65122.015180871866,41192.12890625,15,119698,0.2618560194969177
1.3MWe,18,NOLA,cfa,66839.71476265386,47874.16015625,15,77010,0.21943353116512299
1.3MWe,18,NeahBay,cfb,82795.74110975346,32031.541015625,13,82443,0.23705849051475525
1.3MWe,18,OKCity,cfa,27980.93802449391,44797.1484375,10,76043,0.15178346633911133
1.3MWe,18,ORNL,cfa,103053.88801823632,38498.8671875,8,107243,0.26896485686302185
1.3MWe,18,PhoenixAZ,bwh,51479.276711236285,41084.04296875,5,79386,0.16521917283535004
1.3MWe,18,PrescottAZ,csa,51325.65961057072,41372.7890625,6,80685,0.17017562687397003
1.3MWe,18,Pueblo,bsk,44578.015817524145,52495.859375,11,76079,0.17603114247322083
1.3MWe,18,RaleighNC,cfa,89008.0142411763,45499.9296875,8,88674,0.23237121105194092
1.3MWe,18,RapidCitySD,bsk,26637.04131079927,35008.96484375,13,81418,0.1670307070016861
1.3MWe,18,ReddingCA,csa,76800.8,39548.12109375,9,140971,0.27572110295295715
1.3MWe,18,RichmondVA,cfa,90154.57238303717,41865.53125,9,108258,0.25798285007476807
1.3MWe,18,Sacramento,csa,52568.806858651114,43385.37109375,12,119224,0.23461918532848358
1.3MWe,18,SouthBendIN,dfa,37140.54307355687,42812.36328125,13,69559,0.16759195923805237
1.3MWe,18,Syracuse,dfb,75885.84913994726,36680.26953125,12,77419,0.21957361698150635
1.3MWe,18,TexasOil,bsh,21555.306156381346,38593.53515625,9,68454,0.13215552270412445
1.3MWe,18,UPMich,dfb,48066.83805005258,41151.2890625,14,68019,0.18317891657352448
1.3MWe,18,VegasNV,bwh,43058.85601875782,36333.13671875,6,83297,0.16271789371967316
1.3MWe,18,WadenaMN,dfa,20445.614709878704,40096.125,12,75279,0.1492612063884735
1.3MWe,18,YumaAZ,bwh,47153.15561351353,42233.46875,4,82901,0.15980733931064606
1.3MWe,24,Anchorage,dfc,68627.23274414145,29562.16796875,30,221820,0.4294368624687195
1.3MWe,24,Ashland,dfb,41909.79491884419,38079.859375,20,77252,0.20797939598560333
1.3MWe,24,AtlantaGA,cfa,97491.05096372837,38950.2578125,5,99508,0.24279046058654785
1.3MWe,24,BangorME,dfb,74254.15756896583,48545.6953125,16,123361,0.2807900607585907
1.3MWe,24,BendOre,bsk,45120.82811702528,49044.7265625,14,110350,0.22386711835861206
1.3MWe,24,BentonCountyOregon,csb,61670.83614097618,40857.87890625,16,135315,0.27776503562927246
1.3MWe,24,BirminghamAL,cfa,96096.56399791893,31622.845703125,5,117848,0.260175496339798
1.3MWe,24,BismarckND,dfb,25605.293191979865,43850.88671875,11,73542,0.1501055508852005
1.3MWe,24,BlaineCountyMontana,bsk,20833.901157289936,42595.41796875,11,85539,0.15676143765449524
1.3MWe,24,BoiseID,bsk,63140.68099593199,45392.3125,13,108345,0.24011069536209106
1.3MWe,24,BrewsterMA,dfb,22942.236478638915,39965.97265625,13,70215,0.15089859068393707
1.3MWe,24,BurlingtonVT,dfa,79016.9192443392,47005.03515625,16,137519,0.30140823125839233
1.3MWe,24,Buttonwillow,bwk,76800.8,30681.865234375,9,142095,0.27689123153686523
1.3MWe,24,CarsonCityNV,bsk,78623.91682865492,39173.07421875,10,149691,0.2909035086631775
1.3MWe,24,CheyenneWY,bsk,33377.26280294143,32280.98046875,7,66720,0.13733883202075958
1.3MWe,24,Chicago,dfa,45994.113100849085,41704.3125,14,68437,0.18114197254180908
1.3MWe,24,CoalvilleUT,dfb,59869.5536431282,47284.39453125,14,115283,0.2471289336681366
1.3MWe,24,ColumbiaMO,cfa,52647.42688022925,45524.58984375,15,78371,0.20349402725696564
1.3MWe,24,ColumbusOH,dfa,66594.8850160064,46395.45703125,16,85239,0.23157846927642822
1.3MWe,24,CrestedButteCO,dfc,69664.8702651247,49962.8359375,10,83088,0.21044643223285675
